File Name,num_detection_circle,diameters,num_detection_square,wwtp_area_square
5741.png,3,[     56.778      39.864      24.333],4,[       2151      4581.7      2232.3      184.01]
5742.png,1,[     25.104],3,[      95.57      1877.2      370.87]
5743.png,0,[],2,[     504.95      1459.2]
5744.png,0,[],3,[     1355.1      310.96       831.6]
5745.png,3,[     35.757      35.554      35.757],2,[     1838.7      937.16]
5746.png,5,[     27.783      20.125      28.075      20.703      14.452],0,[]
5747.png,0,0,0,[0]
5748.png,0,[],3,[     1467.8        2181      1604.7]
5749.png,2,[     23.029      23.029],3,[     249.62       631.9      249.62]
5750.png,0,[],3,[     773.12      773.12      256.76]
5751.png,26,[     64.307      65.884      66.268      69.649       69.61      38.497      68.505      39.613      70.324      69.178      39.682      40.137      69.047      69.649       69.61      68.505      66.268      69.178      64.307      70.324      65.884      39.682      39.613      40.137      69.047      38.497],7,[     2564.7      931.45      2018.4       20084      4098.1      1310.9      2564.7]
5752.png,0,[],1,[     2056.9]
5753.png,2,[     15.774      15.774],0,[]
5754.png,0,0,0,[0]
5755.png,0,0,0,[0]
5756.png,3,[     23.381      23.458      16.003],3,[     850.15      209.68      546.32]
5757.png,15,[     69.362      69.218       69.44      69.727      69.597      69.948      70.052      55.155      14.389      69.597      69.362       69.44      69.948      69.218      70.052],5,[      16283       10921      225.37       22281      1375.1]
5758.png,2,[     27.188      27.088],1,[      680.4]
5759.png,0,[],2,[     125.53      174.02]
5760.png,0,[],2,[     125.53      174.02]
5761.png,1,[     15.716],3,[     169.74      266.74      382.28]
5762.png,4,[     43.377      42.659      43.377      42.659],1,[      124.1]
5763.png,1,[     61.522],6,[     867.26      656.15      4150.9      259.61      192.57      823.04]
5764.png,1,[     19.943],2,[     145.49      714.64]
5765.png,1,[     19.943],2,[     145.49      714.64]
5766.png,0,[],1,[     330.93]
5767.png,0,[],1,[     406.53]
5768.png,0,0,0,[0]
5769.png,3,[     14.577      14.639      14.946],0,[]
5770.png,1,[     13.809],2,[     169.74      174.02]
5771.png,0,[],3,[      647.6      266.74      165.46]
5772.png,2,[     40.899      47.704],1,[     978.52]
5773.png,2,[     50.515      41.516],1,[     1442.1]
5774.png,0,0,0,[0]
5775.png,13,[     31.634      30.908      32.005      31.142      28.904      15.127       22.91      29.832      22.348       36.01      14.946      20.438      29.402],2,[     7347.5      781.68]
5776.png,11,[     32.175      77.417      78.338      77.417      77.616        77.3      32.175      17.206        77.3      78.338      77.616],11,[     3329.3      1406.5      1490.6      1420.7        2860      1490.6      1593.3      1406.5      1420.7      3329.3      6487.4]
5777.png,0,0,0,[0]
5778.png,0,[],2,[     609.08      1402.2]
5779.png,2,[     34.147      34.093],1,[     3597.4]
5780.png,0,[],2,[     1778.7      457.88]
5781.png,0,0,0,[0]
5782.png,0,0,0,[0]
5783.png,0,[],3,[     644.74      666.14      213.96]
5784.png,1,[     30.165],2,[     493.54      1065.5]
5785.png,0,0,0,[0]
5786.png,2,[     36.212      35.783],3,[     1213.9        1308      2035.5]
5787.png,0,[],1,[     790.24]
5788.png,0,[],2,[     1310.9      1310.9]
5789.png,2,[     24.407      24.145],1,[     805.93]
5790.png,2,[     24.407      24.145],1,[     805.93]
5791.png,2,[     25.392      20.615],1,[     345.19]
5792.png,0,0,0,[0]
5793.png,0,[],4,[     3113.9      3229.4      3926.9      4754.3]
5794.png,4,[     47.647      51.087      37.806      33.583],3,[     4175.1      8478.6      1453.5]
5795.png,1,[     19.389],7,[     2285.1      1399.3      3750.1      3600.3        1037      530.63      8129.2]
5796.png,7,[      35.96      36.981      36.111      34.935      35.297      33.906      24.183],7,[     2175.3        3054      141.22      154.05      2658.8      136.94      135.51]
5797.png,0,0,0,[0]
5798.png,13,[     70.633       71.12      71.286      71.337      71.248      71.298      54.576      23.804      23.651      14.262      23.766      34.622      14.005],5,[      14562       14213       14317      2871.4      168.32]
5799.png,6,[     41.494      41.032      30.996      30.761      22.831       22.51],2,[     1002.8      1881.4]
5800.png,4,[     61.845      61.448      59.755      60.809],4,[      17994      241.07      3148.1      315.24]
5801.png,0,0,0,[0]
5802.png,0,0,0,[0]
5803.png,0,0,0,[0]
5804.png,0,[],1,[      604.8]
5805.png,8,[     52.281      53.839      53.534      53.483      45.141      45.322      44.636      44.493],0,[]
5806.png,2,[     27.815       28.62],4,[     2008.4      109.83      486.41      175.45]
5807.png,2,[     17.777      18.429],5,[     379.43      406.53      589.11      159.76        1900]
5808.png,2,[     15.483       16.94],1,[     356.61]
5809.png,0,[],2,[     1008.5      145.49]
5810.png,0,[],1,[     322.37]
5811.png,0,[],1,[     322.37]
5812.png,0,[],1,[     322.37]
5813.png,0,[],1,[     322.37]
5814.png,0,[],1,[     322.37]
5815.png,3,[      40.25      42.744      43.419],0,[]
5816.png,3,[     40.046      41.734      43.523],0,[]
5817.png,0,[],1,[      405.1]
5818.png,0,[],1,[      405.1]
5819.png,5,[      28.14      26.062      19.483      20.527      20.034],2,[     1576.2       172.6]
5820.png,1,[     16.172],3,[     1313.7      433.63       178.3]
5821.png,0,0,0,[0]
5822.png,0,0,0,[0]
5823.png,6,[     36.212      36.685      44.021      45.502      34.013      36.437],1,[     2302.2]
5824.png,3,[     54.676      72.172      21.897],5,[     336.64      1536.3      2347.9      2002.7      3225.1]
5825.png,2,[     16.284      18.674],5,[     283.86      432.21      202.55      2021.2      650.45]
5826.png,3,[     54.692      72.071      21.351],4,[     152.63       350.9      2377.8      1539.1]
