HW_unique_ID,HW_2014_ORG_ID,CWNS_2016_ID,CWNS_2022_ID,new since 2014,closed since 2014,Latitude,Longitude,Facility_Name,HW POP 2014,EPA POP 2016,EPA POP 2022,EPA Treated POP 2022,EPA POP TYPE 2022
25063,1000104004,1000104004,1000104004,,,32.6237,-87.2963,MARION WWTP,3006.0,3006.0,3178.0,3178.0,Receiving Collection
25064,1000109001,1000109001,1000109001,,,33.0983,-86.8671,MONTEVALLO WWTP,6400.0,6400.0,7255.0,7255.0,Receiving Collection
25065,1000110001,1000110001,1000110001,,,32.366694,-86.474194,MONTGOMERY CATOMA CREEK WWTP,107251.0,107251.0,123000.0,123000.0,Receiving Collection
25066,1000110002,1000110002,1000110002,,,32.423,-86.3033,MONTGOMERY ENCONCHATE WWTP,70678.0,70678.0,75100.0,75100.0,Receiving Collection
25067,1000110003,1000110003,1000110003,,,32.39492,-86.36444,MONTGOMERY TOWASSA WWTP,6532.0,6532.0,7500.0,7500.0,Receiving Collection
25068,1000111002,1000111002,nan,,,33.5893,-86.4916,MOODY KELLY CREEK WWTP,1200.0,1200.0,,,
25069,1000114001,1000114001,1000114001,,,34.4887,-87.299,MOULTON WWTP,3250.0,3250.0,3285.0,3285.0,Receiving Collection
25070,1000115001,1000115001,1000115001,,,33.0007,-87.6422,MOUNDVILLE LAGOON,2155.0,2155.0,3072.0,3072.0,Receiving Collection
25071,1000121001,1000121001,1000121001,,,34.5301,-86.3886,New Hope HCR LAGOON,2833.0,2833.0,2891.0,2891.0,Receiving Collection
25072,1000123001,1000123001,1000123001,,,33.2144,-87.5883,NORTHPORT WWTP,18247.0,18247.0,26249.0,26249.0,Receiving Collection
25073,1000124001,1000124001,1000124001,,,33.7105,-87.3879,Oakman Lagoon (HCR),700.0,700.0,762.0,762.0,Receiving Collection
25074,1000125001,1000125001,1000125001,,,33.6796,-86.3974,"Odenville, WWTP",500.0,500.0,3825.0,3825.0,Receiving Collection
25075,1000127002,1000127002,1000127002,,,32.6444,-85.3188,Opelika-Eastside WWTP,25500.0,25500.0,26775.0,26775.0,Receiving Collection
25076,1000127005,1000127005,1000127005,,,32.6605,-85.4527,Opelika-Westside WWTP,18900.0,18900.0,19845.0,19845.0,Receiving Collection
25077,1000128002,1000128002,1000128002,,,31.2846,-86.2848,OPP WESTSIDE WWTP,5500.0,5500.0,4100.0,4100.0,Receiving Collection
25078,1000128003,1000128003,1000128003,,,31.2691,-86.2198,OPP EASTSIDE WWTP,1020.0,1020.0,3325.0,3325.0,Receiving Collection
25079,1000129001,1000129001,1000129001,,,34.5876,-86.4638,OWENS CROSSROADS WWTP,1124.0,1124.0,2594.0,1038.0,Receiving Collection
25080,1000130001,1000130001,1000130001,,,33.585112,-85.900722,OXFORD TULL C ALLEN WWTP,7442.0,7442.0,22069.0,22069.0,Receiving Collection
25081,1000131002,1000131002,1000131002,,,31.4571,-85.5847,OZARK NORTHEAST LAGOON,1400.0,1400.0,1889.0,1889.0,Receiving Collection
25082,1000131005,1000131005,1000131005,,,31.3888,-85.6097,OZARK SOUTHSIDE WWTP,10100.0,10100.0,16119.0,16119.0,Receiving Collection
25083,1000132001,1000132001,1000132001,,,33.7194,-87.299,PARRISH HCR LAGOON,982.0,982.0,492.0,492.0,Receiving Collection
25084,1000135001,1000135001,1000135001,,,34.3371,-87.7074,PHIL CAMPBELL WWTP,1010.0,1010.0,7008.0,7008.0,Receiving Collection
25085,1000139001,1000139001,1000139001,,,32.4232,-86.4613,PRATTVILLE AUTAUGA CREEK WWTP,13877.0,13877.0,27600.0,27600.0,Receiving Collection
25086,1000139003,1000139003,1000139003,,,32.4295,-86.4054,PRATTVILLE PINE CREEK WWTP,13877.0,13877.0,14571.0,14571.0,Receiving Collection
25087,1000140001,1000140001,1000140001,,,30.7214,-88.0594,PRICHARD CARLO A MORRIS WWTP,17265.0,17265.0,9661.0,9661.0,Receiving Collection
25088,1000140002,1000140002,1000140002,,,30.7864,-88.0983,PRICHARD STANLEY BROOKS WWTP,6386.0,6386.0,9661.0,9661.0,Receiving Collection
25089,1000141001,1000141001,1000141001,,,33.977275,-85.99709,RAINBOW CITY LAGOON,4092.0,4092.0,4080.0,4080.0,Receiving Collection
25090,1000143001,1000143001,1000143001,,,33.377785,-88.018167,REFORM WWTP,1292.0,1292.0,1495.0,1495.0,Receiving Collection
25091,1000145002,1000145002,1000145002,,,33.1594,-85.4017,ROANOKE WWTF,6563.0,6563.0,1790.0,1790.0,Receiving Collection
25092,1000146001,1000146001,1000146001,,,30.5533,-87.678,ROBERTSDALE WWTP,2533.0,2533.0,8490.0,8490.0,Receiving Collection
25093,1000147001,1000147001,1000147001,,,32.8875,-86.2251,ROCKFORD WWTP,210.0,210.0,221.0,221.0,Receiving Collection
25094,1000149001,1000149001,1000149001,,,31.11295,-86.04705,SAMSON LAGOON,1843.0,1843.0,1874.0,1874.0,Receiving Collection
25095,1000150001,1000150001,1000150001,,,30.8138,-88.0681,SARALAND WWTP,5600.0,5600.0,16171.0,16171.0,Receiving Collection
25096,1000152001,1000152001,1000152001,,,30.83936,-88.050102,SATSUMA WWTP,7500.0,7500.0,6749.0,6749.0,Receiving Collection
25097,1000153001,1000153001,1000153001,,,32.399186,-87.040837,SELMA VALLEY CREEK WWTP,20101.0,20101.0,17971.0,17971.0,Receiving Collection
25098,1000154001,1000154001,1000154001,,,34.7583,-87.7176,SHEFFIELD WWTP,9200.0,9200.0,9403.0,9403.0,Receiving Collection
25099,1000158001,1000158001,1000158001,,,33.942062,-86.02448,Southside WWTP,350.0,350.0,9465.0,9465.0,Receiving Collection
25100,1000160001,1000160001,1000160001,,,33.7611,-86.4583,SPRINGVILLE LAGOON,2125.0,2125.0,4786.0,4786.0,Receiving Collection
