Identification de l'installation/ Facility Identification,Nom du propriétaire/ Owner Name,Nom du système / System Name,Ville/ City,Province (Anglais)/ Province (English),Province (Français) / Province (French),Code postal/ Postal Code,Type de propriétaire (Anglais) / Owner Type (English),Type de propriétaire (Français)/ Owner Type (French),Type d'exploitant (Anglais)/ Operator Type (English),Type d'exploitant  (Français) / Operator Type (French),Volume journalier moyen de l'effluent (m3) / Average Daily Effluent Volume (m3),Méthode de calcul (Anglais) / Method of Calculation (English),Méthode de calcul  (Français)/ Method of Calculation (French),Description de la méthode de calcul/ Description of Calculation Method ,Indicateur - Utilisation de chlore (Anglais)/ Chlorine Use Indicator (English),Indicateur - Utilisation de chlore (Français) / Chlorine Use Indicator (French),Type du système (Anglais)/ System Type (English),Type du système (Français)/ System Type (French),Types de traitement (Anglais)/ Treatment Types (English),Types de traitement (Français)/ Treatment Types (French),Description des autres traitements / Other Treatment Description,Description du lieu de rejet (Anglais) / Discharge Place Description (English),Description du lieu de rejet (Français) / Discharge Place Description (French),Le temps de rétention hydraulique est-il de 5 jours ou plus? (Anglais)/ Is the hydraulic retention time 5 days or more? (English),Le temps de rétention hydraulique est-il de 5 jours ou plus? (Français) / Is the hydraulic retention time 5 days or more? (French),Fréquence de reportage (Anglais)/ Reporting Frequency (English),Fréquence de reportage (Français) / Reporting Frequency (French),Périodes decalcul (Anglais)/ Averaging Period (English),Périodes de calcul (Français) / Averaging Period (French),Latitude/ Latitude,Longitude/ Longitude,Statut de Vérification du point (Anglais)/ Verification status of the point (English),Statut de Vérification du point (Français)/ Verification status of the point (French),Type de point (Anglais)/ Type of Point (English),Type de point (Français) / Type of Point (French),Nom de la masse d'eau fréquentée par les poissons/ Name of body of water frequented by fish,Nom de la masse d'eau au point d'entrée/ Name of the water at point of entry, Description de l'utilisation de l'eau (Anglais)/ Description of use of water (English),Description de l'utilisation de l'eau (Français)/ Description of use of water (French),Description des eaux fréquentées par les poisons (Anglais) / Description of water frequented by fish (English),Description des eaux fréquentées par les poisons (Français)/ Description of water frequented by fish (French),État du système (Anglais)/ System status (English),État du système (Français)/ System status (French)
29694,Village of Lytton,Wastewater Treatment Plant,Lytton,British Columbia,Colombie-Britannique,V0K1Z0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,220,Estimate based on the measured rate of effluent flow,Estimations fondée sur la mesure du débit de l'effluent,,No,Non,Continuous,Continu,"Screening, Primary Sedimentation Clarification, Skimming, Extended Aeration Activated Sludge, Sequencing Batch Reactor, Biological Nutrient Removal Nitrogen And Phosphorus","Dégrillage, Sédimentation clarification primaire, Écrémage,Boues activées par aération prolongée, Réacteur séquentiel discontinu,Élimination biologique des nutriments nutritifs (azote et phosphore)",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Quarterly,Trimestriel,50.228,-121.5827,Estimated,Estimé,Final Discharge Point,Point de rejet final,Fraser River,Fraser River,Other,Autre,Watercourse with bulk flow ratio > 100,Cours d'eau avec un coefficient de débit brut > 100,operational,opérationnel
25851,Village of Midway,Wastewater Treatment Plant,Midway,British Columbia,Colombie-Britannique,V0H1M0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,146,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Screening, Extended Aeration Activated Sludge, Disinfection","Dessablage, Dégrillage,Boues activées par aération prolongée, Désinfection",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Yearly,Annuel,49.0015,-118.772,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
23336,Village of Pemberton,Pemberton Wastewater Treatment Plant,Pemberton,British Columbia,Colombie-Britannique,V0N 2L0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,1058,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Screening, Sequencing Batch Reactor, Disinfection","Dégrillage, Réacteur séquentiel discontinu, Désinfection",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Quarterly,Trimestriel,50.3047,-122.7281,Verified,Vérifié,Final Discharge Point,Point de rejet final,Lillooet River,Lillooet River,Contact recreational (e.g. swimming),Contact récréatif (baignade),Watercourse with bulk flow ratio > 100,Cours d'eau avec un coefficient de débit brut > 100,operational,opérationnel
28585,Village of Port Alice,Port Alice Sewage Treatment Plant,Port Alice,British Columbia,Colombie-Britannique,V0N 2N0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,184,Estimate based on the measured rate of effluent flow,Estimations fondée sur la mesure du débit de l'effluent,,No,Non,Continuous,Continu,"Grit Removal, Screening, Skimming, Activated Sludge, Rotating Biological Contactor","Dessablage, Dégrillage, Écrémage, Boues activées, Contacteur biologique rotatif",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Quarterly,Trimestriel,50.4308,-127.4891,Verified,Vérifié,Final Discharge Point,Point de rejet final,Neroutsos Inlet,Neroutsos Inlet,,,,,operational,opérationnel
26919,Village of Pouce Coupe,Village of Pouce Coupe Sewage Treatment Lagoons,Pouce Coupe,British Columbia,Colombie-Britannique,V0C 2C0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,148,Estimate based on the measured rate of effluent flow,Estimations fondée sur la mesure du débit de l'effluent,,No,Non,Intermittent,Intermittent,"Lagoon Aerobic, Lagoon Anaerobic, Lagoon Facultative, Storage Ponds","Étangs Aérobie, Étangs Anaérobie, Étangs Facultative, Bassins de stockage",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Yearly,Annuel,55.7194,-120.1164,Verified,Vérifié,Final Discharge Point,Point de rejet final,Pouce Coupe River,Pouce Coupe River,Agriculture (e.g irrigation),Agriculture (irrigation),Watercourse with bulk flow ratio > 100,Cours d'eau avec un coefficient de débit brut > 100,operational,opérationnel
29765,Village of Sayward,PepieLagoon,Sayward,British Columbia,Colombie-Britannique,V0P 1R0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,100,Estimate based on the measured rate of influent flow,Estimations fondée sur le débit mesuré de l'affluent,,No,Non,Continuous,Continu,Lagoon Aerated,Étangs Aérée,,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Yearly,Annuel,50.3839,-125.9585,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
25824,Village of Tahsis,North Treatment Plant,Tahsis,British Columbia,Colombie-Britannique,V0P 1X0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,91,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Screening, Extended Aeration Activated Sludge, Biological Nitrogen Removal Nitrification And Denitrification","Dégrillage,Boues activées par aération prolongée, Élimination biologique de l'azote – Nitrification et dénitrification,",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,Non-applicable,Non applicable,Non-applicable,Non Applicable,49.923,-126.6578,Verified,Vérifié,Final Discharge Point,Point de rejet final,Pacific Ocean,,Sport fishing,Pêche sportive,Estuary,Estuaire,operational,opérationnel
25822,Village of Tahsis,South Treatment Plant,Tahsis,British Columbia,Colombie-Britannique,V0P 1X0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,41,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Screening, Extended Aeration Activated Sludge, Biological Ammonia Removal Nitrification Only","Dégrillage,Boues activées par aération prolongée, Élimination biologique de l'ammoniac – Nitrification seulement,",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,Non-applicable,Non applicable,Non-applicable,Non Applicable,49.6612,-126.9135,Estimated,Estimé,Final Discharge Point,Point de rejet final,Pacific Ocean,Tahsis Inlet,Sport fishing,Pêche sportive,Marine port waters,Eaux d'un port maritime,operational,opérationnel
28103,Village of Valemount,Villlage of Valemount,Valemount,British Columbia,Colombie-Britannique,V0E2Z0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,650,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Screening, Primary Sedimentation Clarification, Skimming, Activated Sludge, Extended Aeration Activated Sludge, Lagoon Aerated, Polishing Ponds, Other Treatment Type","Dégrillage, Sédimentation clarification primaire, Écrémage, Boues activées,Boues activées par aération prolongée, Étangs Aérée, Polishing Ponds, Autres types de traitement",U.V.,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Yearly,Annuel,52.8195,-119.259,Verified,Vérifié,Final Discharge Point,Point de rejet final,None,Cranberry Marsh,Other,Autre,Natural wetland,Milieu humide naturel,operational,opérationnel
25892,Yunesit'in First Nation,Yunesit'in Facultative Lagoons,Yunesit'in,British Columbia,Colombie-Britannique,V0L 1K0,Indigenous,Autochtone,Indigenous,Autochtone,104,Estimate based on generally accepted engineering practices,Estimations fondée sur les pratiques d'ingénierie généralement reconnues,,No,Non,Continuous,Continu,Lagoon Facultative,Étangs Facultative,,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Yearly,Annuel,51.9259,-123.119,Verified,Vérifié,Final Discharge Point,Point de rejet final,Chilcotin River,,Other recreational (e.g. boating),Autre contact récréatif (bateau),Watercourse with bulk flow ratio > 100,Cours d'eau avec un coefficient de débit brut > 100,operational,opérationnel
27003,Accomadation services D2,MRCC D2,Beausejour,Manitoba,Manitoba,R0E 0C0,Provincial,Provincial,Provincial,Provincial,117.8,Other method of calculation based on measurements,Autre méthode de calcul fondée sur les mesures,"We utilized our maximum capacity numbers for our secondary cells, then calculated an approximate amount of wastewater, that was in each cell, divided that amount by the total number of days discharge took place. example: 43000 cubic meters was discharged over 365 days",No,Non,Intermittent,Intermittent,"Lagoon Aerobic, Lagoon Facultative, Lagoon Non Aerated, Chemical Precipitation Phosphorus","Étangs Aérobie, Étangs Facultative,Étangs Non aérée, Précipitation chimique (phosphore)",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Yearly,Annuel,50.1467,-96.2513,Verified,Vérifié,Final Discharge Point,Point de rejet final,drainage ditch,drainage ditch,Other,Autre,Other,Autre,operational,opérationnel
24133,Barren Lands First Nation,Lagoon-Facultative,Brochet,Manitoba,Manitoba,R0B 0B0,Indigenous,Autochtone,Indigenous,Autochtone,79.2,Estimate based on generally accepted engineering practices,Estimations fondée sur les pratiques d'ingénierie généralement reconnues,,No,Non,Intermittent,Intermittent,Lagoon Facultative,Étangs Facultative,,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Yearly,Annuel,57.9232,-101.6383,Estimated,Estimé,Final Discharge Point,Point de rejet final,,,Other recreational (e.g. boating),Autre contact récréatif (bateau),Natural lake,Lac naturel,operational,opérationnel
24697,Berens River First Nation,Lagoon - Facultative,Berens River,Manitoba,Manitoba,R0B 0A0,Indigenous,Autochtone,Indigenous,Autochtone,398,Estimate based on generally accepted engineering practices,Estimations fondée sur les pratiques d'ingénierie généralement reconnues,,No,Non,Intermittent,Intermittent,Lagoon Facultative,Étangs Facultative,,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Yearly,Annuel,52.3668,-97.0172,Estimated,Estimé,Final Discharge Point,Point de rejet final,,,Other recreational (e.g. boating),Autre contact récréatif (bateau),Natural lake,Lac naturel,operational,opérationnel
24784,Black River First Nation,Lagoon-Facultative,O'Hanley,Manitoba,Manitoba,R0E 1K0,Indigenous,Autochtone,Indigenous,Autochtone,175,Estimate based on generally accepted engineering practices,Estimations fondée sur les pratiques d'ingénierie généralement reconnues,,No,Non,Intermittent,Intermittent,Lagoon Facultative,Étangs Facultative,,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Yearly,Annuel,50.8344,-96.2956,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,Other,Autre,Natural lake,Lac naturel,operational,opérationnel
24834,Bloodvein First Nation,Lagoon-Facultative,Bloodvein,Manitoba,Manitoba,R0C 0J0,Indigenous,Autochtone,Indigenous,Autochtone,208.2,Estimate based on generally accepted engineering practices,Estimations fondée sur les pratiques d'ingénierie généralement reconnues,,Yes,Oui,Intermittent,Intermittent,Lagoon Facultative,Étangs Facultative,,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Yearly,Annuel,51.7978,-96.6919,Verified,Vérifié,Final Discharge Point,Point de rejet final,Bloodvein River,Bloodvein River,Other,Autre,Natural lake,Lac naturel,operational,opérationnel
25145,Brokenhead Ojibway Nation,Lagoon-Facultative,Scanterbury,Manitoba,Manitoba,R0E 1W0,Indigenous,Autochtone,Indigenous,Autochtone,125.6,Estimate based on generally accepted engineering practices,Estimations fondée sur les pratiques d'ingénierie généralement reconnues,,No,Non,Intermittent,Intermittent,Lagoon Facultative,Étangs Facultative,,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Yearly,Annuel,50.3487,-96.594,Estimated,Estimé,Final Discharge Point,Point de rejet final,,Brokenhead River,Other,Autre,Other,Autre,operational,opérationnel
24857,Bunibonibee (Oxford House) First Nation,Sequencing Batch Reactor,Oxford House,Manitoba,Manitoba,R0B 1C0,Indigenous,Autochtone,Indigenous,Autochtone,469.2,Estimate based on generally accepted engineering practices,Estimations fondée sur les pratiques d'ingénierie généralement reconnues,,Yes,Oui,Intermittent,Intermittent,Sequencing Batch Reactor,Réacteur séquentiel discontinu,,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Yearly,Annuel,54.9277,-95.2714,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,Sport fishing,Pêche sportive,Natural lake,Lac naturel,operational,opérationnel
22852,Canadian Nuclear Laboratories,Whiteshell Laboratories,pinawa,Manitoba,Manitoba,R0E1L0,Federal,Fédéral,Federal,Fédéral,326,Other method of calculation based on measurements,Autre méthode de calcul fondée sur les mesures,Depth of water in lagoon is measured routinely throughout the period of discharge and is used to estimate volume of discharge per day.,No,Non,Intermittent,Intermittent,Lagoon Facultative,Étangs Facultative,,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Yearly,Annuel,50.1855,-96.0563,Verified,Vérifié,Final Discharge Point,Point de rejet final,To Winnipeg River via man-made ditch,Winnipeg River,Other,Autre,,,operational,opérationnel
24831,Chemawawin Cree Nation,Lagoon-Facultative,Easterville,Manitoba,Manitoba,R0C 0V0,Indigenous,Autochtone,Indigenous,Autochtone,281.2,Estimate based on generally accepted engineering practices,Estimations fondée sur les pratiques d'ingénierie généralement reconnues,,No,Non,Intermittent,Intermittent,Lagoon Facultative,Étangs Facultative,,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Yearly,Annuel,53.1091,-99.7808,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,Other recreational (e.g. boating),Autre contact récréatif (bateau),Natural lake,Lac naturel,operational,opérationnel
7047,City of Brandon,Water Reclamation Facility,Brandon,Manitoba,Manitoba,R7A7R1,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,21000,Estimate based on the measured rate of effluent flow,Estimations fondée sur la mesure du débit de l'effluent,,No,Non,Continuous,Continu,"Screening, Activated Sludge, Biological Nitrogen Removal Nitrification And Denitrification, Chemical Precipitation Phosphorus, Other Treatment Type","Dégrillage, Boues activées,Élimination biologique de l'azote – Nitrification et dénitrification, Précipitation chimique (phosphore), Autres types de traitement",Membrane,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Yes,Oui,Quarterly,Trimestriel,Monthly,Mensuel,49.8365,-99.8485,Verified,Vérifié,Final Discharge Point,Point de rejet final,Assiniboine River,Assiniboine River,Other recreational (e.g. boating),Autre contact récréatif (bateau),Watercourse with bulk flow ratio >=10 and <=100,Cours d'eau avec un coefficient de débit brut >=10 et <=100,operational,opérationnel
23301,City of Dauphin,Dauphin Wastewater System,Dauphin,Manitoba,Manitoba,R7N 1K3,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,3800,Estimate based on the measured rate of influent flow,Estimations fondée sur le débit mesuré de l'affluent,,No,Non,Intermittent,Intermittent,"Lagoon Aerated, Lagoon Facultative","Étangs Aérée, Étangs Facultative",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Yearly,Annuel,51.1771,-100.017,Verified,Vérifié,Final Discharge Point,Point de rejet final,Lake Dauphin,Vermillion River,Other,Autre,Natural lake,Lac naturel,operational,opérationnel
25375,City of Morden,City of Morden Wastewater Treatment Lagoon,Morden,Manitoba,Manitoba,R6M 1V3,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,1150.7,Estimate based on generally accepted engineering practices,Estimations fondée sur les pratiques d'ingénierie généralement reconnues,,No,Non,Intermittent,Intermittent,Lagoon Facultative,Étangs Facultative,,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Yearly,Annuel,49.2056,-98.0695,Verified,Vérifié,Final Discharge Point,Point de rejet final,,Dead Horse Creek,Agriculture (e.g irrigation),Agriculture (irrigation),,,operational,opérationnel
19595,City of Portage la Prairie,City of Portage la Prairie Water Pollution Control Facility,Portage la Prairie,Manitoba,Manitoba,R1N 3V6,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,12695,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Screening, Sequencing Batch Reactor, Biological Ammonia Removal Nitrification Only, Other Treatment Type, Disinfection","Dessablage, Dégrillage, Réacteur séquentiel discontinu,Élimination biologique de l'ammoniac – Nitrification seulement, Autres types de traitement, Désinfection",Bulk Volume Fermentor,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,Quarterly,Trimestriel,Quarterly,Trimestriel,49.9526,-98.2714,Verified,Vérifié,Final Discharge Point,Point de rejet final,Assiniboine River,Assiniboine River,Drinking water source,Source d'eau potable,Watercourse with bulk flow ratio > 100,Cours d'eau avec un coefficient de débit brut > 100,operational,opérationnel
25158,City of Selkirk,City of Selkirk Waste Water Treatment Plant,Selkirk,Manitoba,Manitoba,R1A 2M1,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,3400,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Screening, Primary Sedimentation Clarification, Skimming, Extended Aeration Activated Sludge, Other Treatment Type, Disinfection","Dessablage, Dégrillage, Sédimentation clarification primaire, Écrémage,Boues activées par aération prolongée, Autres types de traitement, Désinfection",UV,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Quarterly,Trimestriel,50.1674,-96.8685,Verified,Vérifié,Final Discharge Point,Point de rejet final,Red River,Red River,Other recreational (e.g. boating),Autre contact récréatif (bateau),Open marine waters,Eaux libres en milieu marin,operational,opérationnel
26127,City of Steinbach,Wastewater Treatment Lagoon,Steinbach,Manitoba,Manitoba,R5G 2J1,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,5564,Estimate based on generally accepted engineering practices,Estimations fondée sur les pratiques d'ingénierie généralement reconnues,,No,Non,Intermittent,Intermittent,"Lagoon Aerated, Lagoon Anaerobic, Lagoon Facultative, Storage Ponds, Chemical Precipitation Phosphorus","Étangs Aérée, Étangs Anaérobie, Étangs Facultative, Bassins de stockage, Précipitation chimique (phosphore)",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Yearly,Annuel,49.5671,-96.7446,Verified,Vérifié,Final Discharge Point,Point de rejet final,Red River,Keating Drain,Other,Autre,Other,Autre,operational,opérationnel
25609,City of Thompson,Thompson Sewage Treatment Plant,Thompson,Manitoba,Manitoba,R8N1S4,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,3704,Estimate based on the measured rate of influent flow,Estimations fondée sur le débit mesuré de l'affluent,,No,Non,Continuous,Continu,Primary Sedimentation Clarification,Sédimentation clarification primaire,,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Quarterly,Trimestriel,55.749,-97.8337,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
25611,City of Thompson,Thompson Waste Water Lagoon,Thompson,Manitoba,Manitoba,R8N1S4,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,1653,Other method of calculation based on measurements,Autre méthode de calcul fondée sur les mesures,Multiplying the pump hrs on the lift stations with pump rating to get the estimated flow.,Yes,Oui,Continuous,Continu,Lagoon Aerated,Étangs Aérée,,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Yearly,Annuel,55.7234,-97.8786,Verified,Vérifié,Final Discharge Point,Point de rejet final,Thompson Lake drainage system,Thompson lake drainage system,Other,Autre,Natural wetland,Milieu humide naturel,operational,opérationnel
25342,City of Winkler,City of Winkler,City,Manitoba,Manitoba,R6W 1B4,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,6666.7,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Intermittent,Intermittent,"Lagoon Aerated, Storage Ponds","Étangs Aérée, Bassins de stockage",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Yearly,Annuel,49.2293,-97.9038,Verified,Vérifié,Final Discharge Point,Point de rejet final,Dead Horse Creek,Dead Horse Creek,Agriculture (e.g irrigation),Agriculture (irrigation),Watercourse with bulk flow ratio >=10 and <=100,Cours d'eau avec un coefficient de débit brut >=10 et <=100,operational,opérationnel
14257,"City of Winnipeg, Water & Waste Department",North End Water Pollution Control Centre (NEWPCC),Winnipeg,Manitoba,Manitoba,R2V4T8,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,171353,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Screening, Primary Sedimentation Clarification, Skimming, Pure Oxygen Activated Sludge, Sequencing Batch Reactor, Chemical Precipitation Phosphorus, Disinfection","Dessablage, Dégrillage, Sédimentation clarification primaire, Écrémage, Pure Oxygen Boues activées, Réacteur séquentiel discontinu, Précipitation chimique (phosphore), Désinfection",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Monthly,Mensuel,49.952,-97.1094,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
14254,"City of Winnipeg, Water & Waste Department",South End Water Pollution Control Centre (SEWPCC),Winnipeg,Manitoba,Manitoba,R2N4G3,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,52934,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,Yes,Oui,Continuous,Continu,"Grit Removal, Screening, Primary Sedimentation Clarification, Skimming, Activated Sludge, Biological Nitrogen Removal Nitrification And Denitrification, Biological Phosphorus Removal, Biological Nutrient Removal Nitrogen And Phosphorus, Chemical Precipitation Phosphorus, Disinfection","Dessablage, Dégrillage, Sédimentation clarification primaire, Écrémage, Boues activées,Élimination biologique de l'azote – Nitrification et dénitrification, Élimination biologique du phosphore,Élimination biologique des nutriments nutritifs (azote et phosphore), Précipitation chimique (phosphore), Désinfection",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Monthly,Mensuel,49.7951,-97.0958,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
