WASTE_ID,LAT_WWTP,LON_WWTP,POP_SERVED,geometry
40100,-25.37,-52.107,2772,"POLYGON ((-52.01716847158804 -25.451140870097024, -52.01716847158804 -25.28880460387266, -52.19683152841195 -25.28880460387266, -52.19683152841195 -25.451140870097024, -52.01716847158804 -25.451140870097024))"
40103,-24.935,-53.503,41853,"POLYGON ((-53.41316847158805 -25.016431087571654, -53.41316847158805 -24.853515069357073, -53.59283152841195 -24.853515069357073, -53.59283152841195 -25.016431087571654, -53.41316847158805 -25.016431087571654))"
40107,-25.12,-53.865,6212,"POLYGON ((-53.77516847158804 -25.201308233831835, -53.77516847158804 -25.038637631116735, -53.954831528411944 -25.038637631116735, -53.954831528411944 -25.201308233831835, -53.77516847158804 -25.201308233831835))"
40109,-23.641,-52.622,26562,"POLYGON ((-52.532168471588044 -23.72326661600605, -52.532168471588044 -23.55868164529274, -52.71183152841195 -23.55868164529274, -52.71183152841195 -23.72326661600605, -52.532168471588044 -23.72326661600605))"
40111,-23.368,-52.95,6856,"POLYGON ((-52.86016847158805 -23.450437549628077, -52.86016847158805 -23.28551116926788, -53.03983152841195 -23.28551116926788, -53.03983152841195 -23.450437549628077, -52.86016847158805 -23.450437549628077))"
40112,-26.411,-52.336,10384,"POLYGON ((-52.246168471588035 -26.491427412128974, -52.246168471588035 -26.330516478780613, -52.42583152841194 -26.330516478780613, -52.42583152841194 -26.491427412128974, -52.246168471588035 -26.491427412128974))"
40114,-24.787,-53.311,3295,"POLYGON ((-53.221168471588044 -24.868528759979096, -53.221168471588044 -24.70541763215102, -53.400831528411956 -24.70541763215102, -53.400831528411956 -24.868528759979096, -53.221168471588044 -24.868528759979096))"
40115,-24.797,-53.277,2980,"POLYGON ((-53.18716847158804 -24.878522177604086, -53.18716847158804 -24.715424198588913, -53.36683152841195 -24.715424198588913, -53.36683152841195 -24.878522177604086, -53.18716847158804 -24.878522177604086))"
40117,-23.165,-50.659,16555,"POLYGON ((-50.56916847158804 -23.24756344220863, -50.56916847158804 -23.082385619973063, -50.74883152841195 -23.082385619973063, -50.74883152841195 -23.24756344220863, -50.56916847158804 -23.24756344220863))"
40118,-23.187,-50.619,18125,"POLYGON ((-50.52916847158805 -23.26954984867727, -50.52916847158805 -23.104399176177164, -50.708831528411956 -23.104399176177164, -50.708831528411956 -23.26954984867727, -50.52916847158805 -23.26954984867727))"
40120,-24.089,-52.121,1161,"POLYGON ((-52.031168471588046 -24.170982067934215, -52.031168471588046 -24.0069654526364, -52.21083152841195 -24.0069654526364, -52.21083152841195 -24.170982067934215, -52.031168471588046 -24.170982067934215))"
40123,-25.749,-53.042,19644,"POLYGON ((-52.952168471588045 -25.829884204562028, -52.952168471588045 -25.668060684612417, -53.13183152841195 -25.668060684612417, -53.13183152841195 -25.829884204562028, -52.952168471588045 -25.829884204562028))"
40125,-23.793,-52.238,1721,"POLYGON ((-52.14816847158804 -23.87517063525396, -52.14816847158804 -23.710777373299045, -52.32783152841195 -23.710777373299045, -52.32783152841195 -23.87517063525396, -52.14816847158804 -23.87517063525396))"
40126,-23.304,-52.299,895,"POLYGON ((-52.20916847158804 -23.386477351568512, -52.20916847158804 -23.221471475278346, -52.38883152841195 -23.221471475278346, -52.38883152841195 -23.386477351568512, -52.20916847158804 -23.386477351568512))"
40127,-25.503,-54.597,26204,"POLYGON ((-54.507168471588045 -25.584051203493818, -54.507168471588045 -25.421894064165343, -54.68683152841195 -25.421894064165343, -54.68683152841195 -25.584051203493818, -54.507168471588045 -25.584051203493818))"
40128,-25.534,-54.595,30795,"POLYGON ((-54.50516847158804 -25.61503024104402, -54.50516847158804 -25.452914978697088, -54.68483152841194 -25.452914978697088, -54.68483152841194 -25.61503024104402, -54.50516847158804 -25.61503024104402))"
40132,-26.068,-53.048,47443,"POLYGON ((-52.958168471588046 -26.148665431387112, -52.958168471588046 -25.987278973043544, -53.13783152841196 -25.987278973043544, -53.13783152841196 -26.148665431387112, -52.958168471588046 -26.148665431387112))"
40133,-26.414,-51.305,995,"POLYGON ((-51.21516847158804 -26.494425317613395, -51.21516847158804 -26.333518568840127, -51.39483152841195 -26.333518568840127, -51.39483152841195 -26.494425317613395, -51.21516847158804 -26.494425317613395))"
40134,-24.208,-53.057,12023,"POLYGON ((-52.967168471588046 -24.289905642433396, -52.967168471588046 -24.126041683531128, -53.14683152841195 -24.126041683531128, -53.14683152841195 -24.289905642433396, -52.967168471588046 -24.289905642433396))"
40137,-25.409,-51.514,110441,"POLYGON ((-51.42416847158805 -25.49011462212135, -51.42416847158805 -25.327830791229278, -51.60383152841195 -25.327830791229278, -51.60383152841195 -25.49011462212135, -51.42416847158805 -25.49011462212135))"
40139,-23.283,-51.01,9179,"POLYGON ((-50.92016847158805 -23.365490389180323, -50.92016847158805 -23.200458473143595, -51.099831528411954 -23.200458473143595, -51.099831528411954 -23.365490389180323, -50.92016847158805 -23.365490389180323))"
40147,-25.537,-50.656,1575,"POLYGON ((-50.56616847158805 -25.618028211162187, -50.56616847158805 -25.45591700394511, -50.74583152841195 -25.45591700394511, -50.74583152841195 -25.618028211162187, -50.56616847158805 -25.618028211162187))"
40149,-25.123,-54.302,2141,"POLYGON ((-54.21216847158804 -25.204306234627975, -54.21216847158804 -25.041639625604343, -54.39183152841195 -25.041639625604343, -54.39183152841195 -25.204306234627975, -54.21216847158804 -25.204306234627975))"
40155,-23.605,-51.661,9133,"POLYGON ((-51.571168471588045 -23.68728926359221, -51.571168471588045 -23.522659057781024, -51.75083152841195 -23.522659057781024, -51.75083152841195 -23.68728926359221, -51.571168471588045 -23.68728926359221))"
40156,-23.256,-50.986,10262,"POLYGON ((-50.89616847158805 -23.338507135556043, -50.89616847158805 -23.173441772421626, -51.07583152841195 -23.173441772421626, -51.07583152841195 -23.338507135556043, -50.89616847158805 -23.338507135556043))"
40158,-25.407,-52.384,9855,"POLYGON ((-52.29416847158804 -25.48811596908479, -52.29416847158804 -25.32582944737204, -52.47383152841194 -25.32582944737204, -52.47383152841194 -25.48811596908479, -52.29416847158804 -25.48811596908479))"
40160,-23.002,-51.942,4272,"POLYGON ((-51.852168471588044 -23.084663778932693, -51.852168471588044 -22.9192855607444, -52.03183152841195 -22.9192855607444, -52.03183152841195 -23.084663778932693, -51.852168471588044 -23.084663778932693))"
40161,-23.377,-51.177,92946,"POLYGON ((-51.087168471588036 -23.459431944237497, -51.087168471588036 -23.29451675949838, -51.26683152841195 -23.29451675949838, -51.26683152841195 -23.459431944237497, -51.087168471588036 -23.459431944237497))"
40162,-23.399,-51.129,21035,"POLYGON ((-51.039168471588034 -23.481418233617333, -51.039168471588034 -23.316530433081887, -51.21883152841195 -23.316530433081887, -51.21883152841195 -23.481418233617333, -51.039168471588034 -23.481418233617333))"
40164,-23.365,-51.117,16755,"POLYGON ((-51.02716847158804 -23.447439417640016, -51.02716847158804 -23.28250930631042, -51.206831528411946 -23.28250930631042, -51.206831528411946 -23.447439417640016, -51.02716847158804 -23.447439417640016))"
40165,-23.354,-51.117,172968,"POLYGON ((-51.02716847158804 -23.43644626508524, -51.02716847158804 -23.27150247740312, -51.206831528411946 -23.27150247740312, -51.206831528411946 -23.43644626508524, -51.02716847158804 -23.43644626508524))"
40167,-24.301,-52.549,5627,"POLYGON ((-52.45916847158805 -24.382845669205846, -52.45916847158805 -24.219101505304113, -52.63883152841195 -24.219101505304113, -52.63883152841195 -24.382845669205846, -52.45916847158805 -24.382845669205846))"
